stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Berlin-Lichtenberg,348438,65219,52.510216,13.496164,
Berlin-Spandau,483088,280277,52.534542,13.197124,
Berlin-Spandau,483088,404454,52.5346,13.197163,
Berlin-Spandau,483088,560381,52.534668,13.197191,
Berlin-Spandau,483088,62555,52.534485,13.1971,
Berlin-Wannsee,257812,245475,52.421402,13.180358,
Berlin-Wannsee,257812,246069,52.42135,13.180446,
Bern,,309073,46.948833,7.439131,1
Bern,309073,120046,46.948833,7.439131,
Bernau(b Berlin),72021,634706,52.67533,13.592016,
Bernau(b Berlin),72021,648018,52.675426,13.591859,
Biberach ZOB/Bahnhof,,225227,48.101456,9.792795,1
Biberach(Riß),225227,376101,48.101994,9.793155,
Biberach(Riß),225227,90751,48.101936,9.792939,
Bielefeld Hbf,,600497,52.029263,8.53272,1
Bielefeld Hbf,600497,530546,52.02962,8.532917,
Bielefeld Hbf,600497,669321,52.029522,8.533106,
Bingen(Rhein) Hbf,315046,545819,49.969147,7.882717,
"Bingen, Hauptbahnhof",,315046,49.96874,7.883543,1
Binz (Ostseebad),,188297,54.404823,13.600502,1
Bischofshofen,,630200,47.41786,13.219888,1
Bischofshofen,630200,609345,47.41786,13.219888,
Bitterfeld,,32515,51.62286,12.31685,1
Bitterfeld,32515,385618,51.62286,12.31685,
Bludenz,,443142,47.154724,9.814564,1
Bludenz,443142,412235,47.154724,9.814564,
Bochnia,,384187,49.9773,20.430775,1
Bochnia,384187,126399,49.9773,20.430775,
Bochum Hbf,,123900,51.479465,7.223335,1
Bochum Hbf,123900,177309,51.478394,7.222859,
Bochum Hbf,123900,297933,51.47853,7.222715,
Bochum Hbf,123900,342399,51.478252,7.223012,
Bohumin,,230385,49.90073,18.359444,1
Bohumin,230385,640184,49.90073,18.359444,
Bolzano/Bozen,,587121,46.496376,11.358791,1
Bolzano/Bozen,587121,529766,46.496376,11.358791,
Bondorf,,265940,48.52327,8.827879,1
Bondorf(b Herrenberg),265940,19239,48.52329,8.827852,
Bondorf(b Herrenberg),265940,652189,48.52328,8.827735,
Bonn Hbf,,459057,50.732006,7.097131,1
Bonn Hbf,459057,273046,50.731834,7.097284,
Bonn Hbf,459057,442877,50.731956,7.097364,
Boppard Hauptbahnhof,,648335,50.231403,7.586084,1
Boppard Hbf,648335,435658,50.231422,7.586014,
Brandenburg Hbf,632679,165777,52.400276,12.565075,
Brandenburg Hbf,632679,224249,52.40021,12.565134,
"Brandenburg, Hauptbahnhof",,632679,52.400795,12.566036,1
Bratislava hl.st.,,7895,48.15891,17.106466,1
Bratislava hl.st.,7895,445640,48.15891,17.106466,
Braunschweig Hbf,583475,329538,52.25223,10.540921,
Braunschweig Hbf,583475,476754,52.25227,10.54085,
"Braunschweig, Hauptbahnhof",,583475,52.252644,10.539547,1
Breclav,,101498,48.7539,16.893236,1
Breclav,101498,283218,48.7539,16.893236,
Breclav(Gr),,22753,48.71265,16.86837,1
Breclav(Gr),22753,512502,48.71265,16.86837,
Bregenz,,95943,47.503002,9.739627,1
Bregenz,95943,245967,47.503002,9.739627,
Bregenz Riedenburg,,637190,47.49291,9.721313,1
Bregenz Riedenburg,637190,437584,47.49291,9.721313,
Bremen Hbf,,441467,53.083256,8.813857,1
Bremen Hbf,441467,260421,53.08342,8.814067,
Bremen Hbf,441467,291492,53.0835,8.81418,
